physician_id_hash,provider_name_first,provider_name_last,ordering_physician_dea_hash,specialty_code,network_participant
Ff8XkPhBq0Hb6ymyxN0Kow==,Jalisa,Tobon,Ff8XkPhBq0Hb6ymyxN0Kow==,8,true
e13f8xiU2l/bJUhvQR8jvA==,Amina,Dysart,e13f8xiU2l/bJUhvQR8jvA==,11,true
/RYopiGL4Yz5xmVIDHnw2w==,Tajuana,Caceres,/RYopiGL4Yz5xmVIDHnw2w==,8,false
1mCuA256aC4L6zrJ0uS7kg==,Arica,Tables,1mCuA256aC4L6zrJ0uS7kg==,8,false
4WQUBeYv7nn/Zaqd27LGwQ==,Skye,Marter,4WQUBeYv7nn/Zaqd27LGwQ==,11,false
DRWmwz7FBb7TJSE1EBemCA==,Shaniqua,Trefethen,DRWmwz7FBb7TJSE1EBemCA==,N/A,true
wtBcxZPVIoxxrfc58U54lw==,Gaston,Helom,wtBcxZPVIoxxrfc58U54lw==,8,false
JERYMsmt0gJgNtgVxXiV9w==,Krysta,Madkin,JERYMsmt0gJgNtgVxXiV9w==,8,true
IkCplUtKkaKVjmGCf5JaTw==,Lisabeth,Raybould,IkCplUtKkaKVjmGCf5JaTw==,14,false
zxe71tgIIOnwEq4UNXaocQ==,Michel,Maw,zxe71tgIIOnwEq4UNXaocQ==,11,false
5Y0hp/566ZKGAIdrgB2U/w==,Gale,Bugarin,5Y0hp/566ZKGAIdrgB2U/w==,66,true
JL7IokhbC5PczqShbjJ8qg==,Felicidad,Brinsfield,JL7IokhbC5PczqShbjJ8qg==,8,false
7HXB/Cub2SzB0oEQK3EPzw==,Mika,Pavlas,7HXB/Cub2SzB0oEQK3EPzw==,11,false
hbM7S8fMCG463ullk6LRKQ==,Melania,Hondel,hbM7S8fMCG463ullk6LRKQ==,86,false
F2fWjs8ZeQOboNkA6cDn1A==,Dale,Revay,F2fWjs8ZeQOboNkA6cDn1A==,48,false
ygYMj7ipqI3FiNiAL+pKdw==,Tomika,Meiners,ygYMj7ipqI3FiNiAL+pKdw==,N/A,false
Je0kZkwHHCl/RXVdFSK7Qg==,Caitlin,Farrall,Je0kZkwHHCl/RXVdFSK7Qg==,8,false
Jaf6oAzyH8MdvrXHc+NjCA==,Roseanne,Akana,Jaf6oAzyH8MdvrXHc+NjCA==,8,false
JdqS+oU7bmBLviikcbpjcw==,Felipe,Heistand,JdqS+oU7bmBLviikcbpjcw==,50,false
TQGXJDVZLigDb5DUbNnMEA==,Tonita,Sodachanh,TQGXJDVZLigDb5DUbNnMEA==,97,false
HhxBThNSJqL7AWPpEDtE7Q==,Renato,Sawlivich,HhxBThNSJqL7AWPpEDtE7Q==,97,false
FodHmI7kMRAvfvNx863PqQ==,Catrina,Raupp,FodHmI7kMRAvfvNx863PqQ==,50,false
6pbabrceBTfioK8b2dmm0Q==,Tangela,Reisen,6pbabrceBTfioK8b2dmm0Q==,N/A,false
6lCJIh5BWF5FEF9I51/jOQ==,Marielle,Chausse,6lCJIh5BWF5FEF9I51/jOQ==,34,true
WdWp5ph6XdZcx/NRaMUxSA==,Violette,Baez,WdWp5ph6XdZcx/NRaMUxSA==,N/A,false
Qxz/KTtJdSKtuXqbTE5Clw==,Nakisha,Puzinski,Qxz/KTtJdSKtuXqbTE5Clw==,86,true
L3a4v+hz1T7/CQB9Vc3Nqw==,Emilie,Sarabando,L3a4v+hz1T7/CQB9Vc3Nqw==,41,false
iA0JvXxgZj4MP9qbYV2sdQ==,Adah,Ruzicka,iA0JvXxgZj4MP9qbYV2sdQ==,11,true
AV7lQKgIf+kSz8CD0Cteew==,Mari,Musi,AV7lQKgIf+kSz8CD0Cteew==,82,false
YgISD5Y8xccvokmRwuqxTQ==,Darleen,Tudisco,YgISD5Y8xccvokmRwuqxTQ==,84,false
aNulyEknTxFkQ8wuGNfiQg==,Charlsie,Cotham,aNulyEknTxFkQ8wuGNfiQg==,11,false
UyDuzN//VO6jqrojXBbi/g==,Harriet,Kimberlin,UyDuzN//VO6jqrojXBbi/g==,N/A,true
v6RITJ9GdTLX+D87Mh0cOg==,America,Caffery,v6RITJ9GdTLX+D87Mh0cOg==,50,false
1xFtRHobTeM5sIx8OAp5Qg==,Shanti,Kiedrowski,1xFtRHobTeM5sIx8OAp5Qg==,97,false
nR7glOHoT7qvqNiU5aU9bw==,Crissy,Santigo,nR7glOHoT7qvqNiU5aU9bw==,86,false
xTufYA430rxP19ZUEpFnpg==,Wenona,Tretina,xTufYA430rxP19ZUEpFnpg==,28,false
qGswgfbEMs7vs0Uy0AYoNg==,Theresa,Otex,qGswgfbEMs7vs0Uy0AYoNg==,86,false
P+tz4s5rrrAni+m1hXbLRw==,Cheri,Kertels,P+tz4s5rrrAni+m1hXbLRw==,8,true
q2m5gcq7QbegX+ZFVJaA8w==,Moriah,Arvizu,q2m5gcq7QbegX+ZFVJaA8w==,8,false
NSxQj+ZImYjmKf1jd1/DJA==,Coleen,Barbara,NSxQj+ZImYjmKf1jd1/DJA==,97,false
wIkJOtNiYWRgcMH7rOeVGA==,Marget,Bourget,wIkJOtNiYWRgcMH7rOeVGA==,11,false
Efj68zIxwo/AUDnUkiZZjw==,Lekisha,Mcaboy,Efj68zIxwo/AUDnUkiZZjw==,97,false
7qJ7Ag+VKW2UXsdtVzNIXg==,Florentino,Nery,7qJ7Ag+VKW2UXsdtVzNIXg==,97,false
+y0Yyuri5TyM0bGs0mVycg==,Estelle,Metting,+y0Yyuri5TyM0bGs0mVycg==,18,false
b/HaFPRXDmw7F2FIL2/wMA==,Hannelore,Tarbox,b/HaFPRXDmw7F2FIL2/wMA==,N/A,false
CJzR2rPUPnD/5Vd5rrJFkg==,Debroah,Pepka,CJzR2rPUPnD/5Vd5rrJFkg==,11,false
Fj1iz76cO4DtzBTercpd7A==,Tuan,Mousel,Fj1iz76cO4DtzBTercpd7A==,97,false
AkSHFxM8VW/Uvpvl5SPBBA==,Marisela,Huereca,AkSHFxM8VW/Uvpvl5SPBBA==,11,false
S+VnuMyntzGSN0I7SHREfQ==,Gerri,Dukhovny,S+VnuMyntzGSN0I7SHREfQ==,11,true
kRtIJRNqFQAEixD8R0IrtQ==,Ahmad,Donate,kRtIJRNqFQAEixD8R0IrtQ==,97,false
liE3AJQNYDlU3/p5hCXz/A==,Alisa,Guckes,liE3AJQNYDlU3/p5hCXz/A==,93,false
B9JlUPQI/31ommqdJJeJLA==,Idell,Venske,B9JlUPQI/31ommqdJJeJLA==,7,false
d8tH6o0tsd1goE/HstMeqA==,Sana,Bowser,d8tH6o0tsd1goE/HstMeqA==,8,false
+JtZrBs9sf8YqdHhcoP2Yw==,Ouida,Poppe,+JtZrBs9sf8YqdHhcoP2Yw==,N/A,false
q/cat7FJidtoK833px0Ibg==,Lavern,Elton,q/cat7FJidtoK833px0Ibg==,97,false
h9splVc+eIao+k48jTfUBA==,Elli,Shenberger,h9splVc+eIao+k48jTfUBA==,50,false
z82N2grZdDe7q9PNOLPheA==,Daphne,Webber,z82N2grZdDe7q9PNOLPheA==,N/A,false
1urvvvEb1imOU5ndW7b5EA==,Lona,Burakowski,1urvvvEb1imOU5ndW7b5EA==,16,true
dx7l62+yeWG6KHdGVGqTEQ==,Quinton,Ennels,dx7l62+yeWG6KHdGVGqTEQ==,8,false
XNeSnOPvkv28qpqgQ2H0Vw==,Alfred,Goerke,XNeSnOPvkv28qpqgQ2H0Vw==,93,false
3LS1iF/I6Cv5STa3rMZr4Q==,Shon,George,3LS1iF/I6Cv5STa3rMZr4Q==,11,true
nyOV26gGuEYjTYa2GtcIGw==,Jeana,Morrin,nyOV26gGuEYjTYa2GtcIGw==,N/A,false
ipdrsZ5MXxFVPSXKMgQIkg==,Michael,Sadusky,ipdrsZ5MXxFVPSXKMgQIkg==,48,false
67cpTA5b3Fpx49MnZe6ZGQ==,Shelley,Bratton,67cpTA5b3Fpx49MnZe6ZGQ==,8,false
cpuSr+/yxv96ag9BTuLdhg==,Vicky,Charan,cpuSr+/yxv96ag9BTuLdhg==,8,false
YbMBPJ8pan0blkL9sygL+A==,Cindy,Kaiwi,YbMBPJ8pan0blkL9sygL+A==,N/A,false
zoiacXEnMZg8TAawYYb7Sg==,Krysten,Nissley,zoiacXEnMZg8TAawYYb7Sg==,39,false
gxQrzzdK4v+7gsYIaD+mfQ==,Wade,Welters,gxQrzzdK4v+7gsYIaD+mfQ==,50,false
yPYNp8264g8I1HYKdeNmCg==,Latanya,Niskanen,yPYNp8264g8I1HYKdeNmCg==,8,true
Q1IyDvCxRZ6fzQFUEz2Jew==,Chantay,Saddler,Q1IyDvCxRZ6fzQFUEz2Jew==,11,true
760D50oajxm/uDvzgoFsUw==,Michaele,Hinchliff,760D50oajxm/uDvzgoFsUw==,7,false
5mtooOvIFkO+13bThhTmSQ==,Brigette,Wood,5mtooOvIFkO+13bThhTmSQ==,N/A,false
oZ3U2JHPwIQvhSJlbwwjzw==,Lynne,Zurowski,oZ3U2JHPwIQvhSJlbwwjzw==,4,false
vJhsVJdLiGJ5uYHCLYND2A==,Hui,Sponsler,vJhsVJdLiGJ5uYHCLYND2A==,50,false
uczPBvjP2hCfAmczWIHFpA==,Leslie,Otteson,uczPBvjP2hCfAmczWIHFpA==,20,false
4rVMSo/2xp0lkECoQnP5xg==,Lilla,Blaire,4rVMSo/2xp0lkECoQnP5xg==,8,false
KvftKVy7XXT+iA2An0Zomw==,Anja,Zipse,KvftKVy7XXT+iA2An0Zomw==,11,true
IoY15WECc+DkugopDM153w==,Laurena,Boppre,IoY15WECc+DkugopDM153w==,8,false
OWvk+rWBbxmrWmYlCdgNhQ==,Woodrow,Dauteuil,OWvk+rWBbxmrWmYlCdgNhQ==,8,false
jdplUZAQIq2CJ3BnkcxnUw==,Jacqueline,Albiston,jdplUZAQIq2CJ3BnkcxnUw==,8,true
+qKY0HruausjkvwR6flz+g==,Jean,Meara,+qKY0HruausjkvwR6flz+g==,N/A,false
aIbMBJuFJFdEvelh81fusQ==,Tom,Sewall,aIbMBJuFJFdEvelh81fusQ==,8,false
fro/pMRWbDLP2+lMmWPlYg==,Patty,Truhe,fro/pMRWbDLP2+lMmWPlYg==,N/A,false
24MeG93LYjOp7U3j6dT0WA==,Aurelio,Donerson,24MeG93LYjOp7U3j6dT0WA==,20,true
WWHOwrc/VKCv31Z9afqYjg==,Mandie,Chitty,WWHOwrc/VKCv31Z9afqYjg==,N/A,false
oxqaVMp6jjnr6Yui8/c8VQ==,Williams,Pruna,oxqaVMp6jjnr6Yui8/c8VQ==,29,false
6SR8VVM3P23nF38KpX+6UQ==,Jeni,Adelizzi,6SR8VVM3P23nF38KpX+6UQ==,41,false
u2pHxbO/QGOFLARYX3cmng==,Elanor,Gragert,u2pHxbO/QGOFLARYX3cmng==,N/A,true
UN5L4MCfhqK5Dk/uEW1sXA==,Ella,Stiegler,UN5L4MCfhqK5Dk/uEW1sXA==,8,true
USiuzE8cU6iw52ep6S4Q1A==,Enoch,Quaker,USiuzE8cU6iw52ep6S4Q1A==,97,false
3HB5TILnM7Crm2gWTaZYTw==,Jenice,Zaffalon,3HB5TILnM7Crm2gWTaZYTw==,11,true
kK7dnd/Z32JnfZkcfEmWwg==,Brett,Spahn,kK7dnd/Z32JnfZkcfEmWwg==,4,true
bnYAaaH8RViyzxHq0fOnbQ==,Micah,Ha,bnYAaaH8RViyzxHq0fOnbQ==,97,false
+pZQhk8ADPniTEaEWxS8Ew==,Terrence,Greer,+pZQhk8ADPniTEaEWxS8Ew==,97,false
WJmQBOJGTiJWX+WD/Xvx8g==,Hans,Lurye,WJmQBOJGTiJWX+WD/Xvx8g==,N/A,false
CdorakN1l3Lupv5N23C8rg==,Shanae,Merow,CdorakN1l3Lupv5N23C8rg==,N/A,false
RcJssKkzX3y0qO6DtPgwog==,Ilse,Christians,RcJssKkzX3y0qO6DtPgwog==,16,false
7Aw1bH2KWmZiSfQdFf9RZw==,Fabian,Velzy,7Aw1bH2KWmZiSfQdFf9RZw==,97,false
LW4ugi3ZoQ4oCTsbtZgTLw==,Jesenia,Katsbulas,LW4ugi3ZoQ4oCTsbtZgTLw==,97,false
ErgLIL6BcDoh74ASycCM/Q==,Erlinda,Zalusky,ErgLIL6BcDoh74ASycCM/Q==,8,true
PxRPGAHkejUjUu3AGclarA==,Tom,Mauras,PxRPGAHkejUjUu3AGclarA==,86,false
xAsik5FEEjo70usSnqy9iw==,Leeanne,Favela,xAsik5FEEjo70usSnqy9iw==,41,false
h90wNIMJob4TeVsdXQVSnA==,Nicholle,Gorena,h90wNIMJob4TeVsdXQVSnA==,50,false
JLOLRflnsRpXsTeb+LjS7A==,Magdalena,Froneberger,JLOLRflnsRpXsTeb+LjS7A==,11,false
S5dTDFtMTnQewtUQ+XfIKg==,Vanetta,Castleberry,S5dTDFtMTnQewtUQ+XfIKg==,8,false
ElUYhZq8lO+GbH7gQXkL2g==,Edra,Flies,ElUYhZq8lO+GbH7gQXkL2g==,8,true
/g2x5yAgsMl7utk6rF0o3A==,Kendrick,Slemmons,/g2x5yAgsMl7utk6rF0o3A==,48,false
uZC5ol7kPlGdKoWj5TjJXw==,Brenton,Botos,uZC5ol7kPlGdKoWj5TjJXw==,11,false
XyYF65z6iwjvnluB+87AIg==,Dennis,Gastelum,XyYF65z6iwjvnluB+87AIg==,50,false
/aNUIjqWYy7PIF/ilCnTsg==,Alisha,Schwulst,/aNUIjqWYy7PIF/ilCnTsg==,50,false
jlERMfSsxftYudNnLxwtqA==,Terina,Shingleton,jlERMfSsxftYudNnLxwtqA==,82,false
hceu6MbRgz5REYCf3Yfhig==,Wilburn,Rumburd,hceu6MbRgz5REYCf3Yfhig==,8,true
2QD4ylX3tkm60RlRP/7RyQ==,Daisey,Gibeau,2QD4ylX3tkm60RlRP/7RyQ==,N/A,false
RSHTrM74Rea0X++igvkKZg==,Shantae,Tarascio,RSHTrM74Rea0X++igvkKZg==,11,true
DwgtrnU+vtO+vSQ/zobaQQ==,Natalia,Winger,DwgtrnU+vtO+vSQ/zobaQQ==,8,false
xTFZ3wVh3R0DM1HHxQCnRg==,Johnathon,Pinegar,xTFZ3wVh3R0DM1HHxQCnRg==,20,true
PEuViaVZQhAlzvxZD7I+wA==,Angelia,Seremet,PEuViaVZQhAlzvxZD7I+wA==,8,false
BOCbVPBNFvN8MS18S7JNrQ==,Mack,Sarabando,BOCbVPBNFvN8MS18S7JNrQ==,11,false
WKZnqv+8/K1eoSx51q8zHA==,Florene,Chaobal,WKZnqv+8/K1eoSx51q8zHA==,93,true
A4EjreAamsO/v1jaZPSF9Q==,Roseann,Lutter,A4EjreAamsO/v1jaZPSF9Q==,20,true
4D1bHB5rdGi2ixcp10e0Vw==,Mei,Sigala,4D1bHB5rdGi2ixcp10e0Vw==,8,true
ZgixssZWAABptWvVyov01A==,Zetta,Wicker,ZgixssZWAABptWvVyov01A==,11,true
7E8NBXQeDZYd7dcsLzmxVQ==,Loretta,Haseloff,7E8NBXQeDZYd7dcsLzmxVQ==,86,true
EBT012FHVvKFycTUVzNZRQ==,Patricia,Hallett,EBT012FHVvKFycTUVzNZRQ==,86,false
gZtfe0/DUJ0AwmUjP0yI8g==,Jacqulyn,Vanleuvan,gZtfe0/DUJ0AwmUjP0yI8g==,11,true
gvlvW8GOoB+Gs+XI9fEgyg==,Viki,Kliskey,gvlvW8GOoB+Gs+XI9fEgyg==,8,false
suHBmLwYO/s7QJnFgBSP+g==,Emmett,Kile,suHBmLwYO/s7QJnFgBSP+g==,97,false
xDEVN6cMdOrrUsvN3IXMlQ==,Scot,Gaskey,xDEVN6cMdOrrUsvN3IXMlQ==,97,false
ovuxm4ECODhXmkrugV86kg==,Elvina,Radford,ovuxm4ECODhXmkrugV86kg==,11,false
DG9waCD0MwsXzz/pB5Bfog==,Eveline,Kozeyah,DG9waCD0MwsXzz/pB5Bfog==,11,false
tzuT4ZWEWXHQv/J92LUZgQ==,Saundra,Flaum,tzuT4ZWEWXHQv/J92LUZgQ==,97,false
sjEE1PXq0gZG1ujdFdXKfQ==,Johnie,Sulentic,sjEE1PXq0gZG1ujdFdXKfQ==,11,false
rWHZhMRyZzSoCCmWT+WdTg==,Felecia,Whitfill,rWHZhMRyZzSoCCmWT+WdTg==,29,true
QVCo3r16+ETcJSxHRiU8Eg==,Stanford,Hartzog,QVCo3r16+ETcJSxHRiU8Eg==,20,false
4uOSwm2OBv9gs9Q0vuMOFQ==,Johanna,Pollock,4uOSwm2OBv9gs9Q0vuMOFQ==,7,false
OICL84Z2KZejMqj+rgXfvg==,Luetta,Dorner,OICL84Z2KZejMqj+rgXfvg==,16,false
+XveJAQGP4Qge+7HMVYvWQ==,Jazmin,Leick,+XveJAQGP4Qge+7HMVYvWQ==,11,false
dfjOSwlPMlg+veEmqiJ92g==,Dee,Keesee,dfjOSwlPMlg+veEmqiJ92g==,41,false
x9EFduMwjudXs3T3uGTwvQ==,Liana,Price,x9EFduMwjudXs3T3uGTwvQ==,97,false
I1x7Rz9i7txS0pxbanf1ZA==,Alice,Cambero,I1x7Rz9i7txS0pxbanf1ZA==,11,false
Zr2LMUoCklWXTk6lhl+v4Q==,Daron,Beardmore,Zr2LMUoCklWXTk6lhl+v4Q==,N/A,false
5wEwi2RVDfr+RO4Bvr5Adw==,Hilda,Roggero,5wEwi2RVDfr+RO4Bvr5Adw==,92,true
TWXBQC+OewyCiJ0iSPbE2A==,Karina,Sulc,TWXBQC+OewyCiJ0iSPbE2A==,14,true
8WXRLIyr2icoqvt9SBVB6A==,Raymond,Zolocsik,8WXRLIyr2icoqvt9SBVB6A==,97,false
KxUIxeFjONZxcKOKHslxvg==,Isabell,Mckouen,KxUIxeFjONZxcKOKHslxvg==,46,true
YSg/5kY1fVHikBePEA3VyQ==,Mitsuko,Rentar,YSg/5kY1fVHikBePEA3VyQ==,N/A,true
J1+SKjnhRRGXDuyJzfWSVw==,Queen,Freckleton,J1+SKjnhRRGXDuyJzfWSVw==,97,false
LxtQcgdkYMueXlBDHV3Uyg==,Jenni,Bupp,LxtQcgdkYMueXlBDHV3Uyg==,N/A,false
Z3fqkcHZN8mmIriW8LJN6A==,Maureen,Sajovic,Z3fqkcHZN8mmIriW8LJN6A==,N/A,false
LRfoJX9t1I6dQR32M/8DYw==,Madlyn,Mickonis,LRfoJX9t1I6dQR32M/8DYw==,11,false
N0DN8r2BrYq+GzqXrOlG0w==,Shaunna,Lesniewski,N0DN8r2BrYq+GzqXrOlG0w==,8,true
vAgdT17/PlmQXkF3ig+/7A==,Alexis,Mantia,vAgdT17/PlmQXkF3ig+/7A==,34,false
YTdBo4/0zJI73N+2uhhtSg==,Berna,Bartnick,YTdBo4/0zJI73N+2uhhtSg==,97,false
BgnD+jWSPZZ9eU9r66pZkg==,Tobie,Ziemke,BgnD+jWSPZZ9eU9r66pZkg==,38,false
Fs1hTCJayO32mjoU23AVrQ==,Cheri,Mccullars,Fs1hTCJayO32mjoU23AVrQ==,8,true
loJJ2fZFUgSot4pgoqSvkA==,Billy,Presutti,loJJ2fZFUgSot4pgoqSvkA==,N/A,false
uS7+6cg1E4ULqtJTGCZ+7A==,Pamela,Gierhart,uS7+6cg1E4ULqtJTGCZ+7A==,11,true
wh2j1JYgL7LTASsoZenZvw==,Raymonde,Poolheco,wh2j1JYgL7LTASsoZenZvw==,93,true
ZMAKru00sxL/rs35IXBa+w==,Ashli,Guy,ZMAKru00sxL/rs35IXBa+w==,11,false
dT8RaUOq/jdSHxuNjAtHgw==,Barbar,Polera,dT8RaUOq/jdSHxuNjAtHgw==,50,true
NBYvCVlHakSO7rWzgcnZ2A==,Owen,Standerwick,NBYvCVlHakSO7rWzgcnZ2A==,66,false
WUDbm3wgy6pHZy0eZGXByg==,Kyra,Boldizsar,WUDbm3wgy6pHZy0eZGXByg==,N/A,true
yFq1JwP+kbKvUJ9XrW00eg==,Hui,Gomzalez,yFq1JwP+kbKvUJ9XrW00eg==,N/A,false
4Opx7Zvs3UVr7GCWkrtntg==,Rolando,Hausner,4Opx7Zvs3UVr7GCWkrtntg==,8,false
